median_household_income,median_gross_rent,population,county_name,state,county,year,fips
46650,612,21565,"Fayette County, Illinois",17,051,2019,17051
57308,689,29003,"Logan County, Illinois",17,107,2019,17107
44090,622,23994,"Saline County, Illinois",17,165,2019,17165
89427,1197,701473,"Lake County, Illinois",17,097,2019,17097
47481,692,14219,"Massac County, Illinois",17,127,2019,17127
52373,598,12493,"Cass County, Illinois",17,017,2019,17017
53632,703,36359,"Huntington County, Indiana",18,069,2019,18069
54576,706,24149,"White County, Indiana",18,181,2019,18181
47658,677,20840,"Jay County, Indiana",18,075,2019,18075
60404,801,44438,"Shelby County, Indiana",18,145,2019,18145
50245,667,20730,"Sullivan County, Indiana",18,153,2019,18153
53130,851,191553,"Tippecanoe County, Indiana",18,157,2019,18157
98173,1176,323117,"Hamilton County, Indiana",18,057,2019,18057
63431,937,82481,"Bartholomew County, Indiana",18,005,2019,18005
52034,690,20096,"Fulton County, Indiana",18,049,2019,18049
56789,712,47506,"Noble County, Indiana",18,113,2019,18113
55630,845,116507,"Clark County, Indiana",18,019,2019,18019
81933,1076,163799,"Hendricks County, Indiana",18,063,2019,18063
44356,700,66452,"Grant County, Indiana",18,053,2019,18053
51250,767,44025,"Jackson County, Indiana",18,071,2019,18071
49543,696,20835,"Owen County, Indiana",18,119,2019,18119
61741,722,33730,"Whitley County, Indiana",18,183,2019,18183
54286,726,32273,"Clinton County, Indiana",18,023,2019,18023
50375,797,7113,"Union County, Indiana",18,161,2019,18161
68658,744,49479,"Dearborn County, Indiana",18,029,2019,18029
53610,686,45548,"Lawrence County, Indiana",18,093,2019,18093
52348,571,19102,"Perry County, Indiana",18,123,2019,18123
64196,688,25560,"Posey County, Indiana",18,129,2019,18129
54806,691,20074,"Carroll County, Indiana",18,015,2019,18015
52874,674,16430,"Fountain County, Indiana",18,045,2019,18045
51190,697,22952,"Starke County, Indiana",18,149,2019,18149
51613,636,32159,"Greene County, Indiana",18,055,2019,18055
67729,640,25636,"Benton County, Iowa",19,011,2019,19011
63031,783,96982,"Dubuque County, Iowa",19,061,2019,19061
52448,597,6797,"Pocahontas County, Iowa",19,151,2019,19151
48591,571,7150,"Van Buren County, Iowa",19,177,2019,19177
49255,549,3670,"Adams County, Iowa",19,003,2019,19003
52055,582,5571,"Audubon County, Iowa",19,009,2019,19009
63404,631,8920,"Davis County, Iowa",19,051,2019,19051
58427,532,6901,"Ida County, Iowa",19,093,2019,19093
58269,566,7807,"Monroe County, Iowa",19,135,2019,19135
69844,726,34827,"Sioux County, Iowa",19,167,2019,19167
52323,588,9744,"Calhoun County, Iowa",19,025,2019,19025
53963,707,42834,"Cerro Gordo County, Iowa",19,033,2019,19033
54196,639,17061,"Hardin County, Iowa",19,083,2019,19083
55205,664,8583,"Lucas County, Iowa",19,117,2019,19117
52932,580,9003,"Palo Alto County, Iowa",19,147,2019,19147
53501,694,19941,"Henry County, Iowa",19,087,2019,19087
58952,730,36971,"Jasper County, Iowa",19,099,2019,19099
53852,719,18388,"Poweshiek County, Iowa",19,157,2019,19157
53152,648,17625,"Clayton County, Iowa",19,043,2019,19043
70395,661,24864,"Bremer County, Iowa",19,017,2019,19017
51563,694,9438,"Emmet County, Iowa",19,063,2019,19063
61761,642,10802,"Hancock County, Iowa",19,081,2019,19081
55967,624,19401,"Jackson County, Iowa",19,097,2019,19097
49564,670,34227,"Lee County, Iowa",19,111,2019,19111
77048,807,50076,"Warren County, Iowa",19,181,2019,19181
54825,652,22164,"Mahaska County, Iowa",19,123,2019,19123
50521,700,16211,"Clay County, Iowa",19,041,2019,19041
63750,621,17183,"Delaware County, Iowa",19,055,2019,19055
37519,526,11201,"Bacon County, Georgia",13,005,2019,13005
38857,622,18756,"Brantley County, Georgia",13,025,2019,13025
32229,656,17033,"Ben Hill County, Georgia",13,017,2019,13017
44151,616,22520,"Burke County, Georgia",13,033,2019,13033
56235,775,66700,"Catoosa County, Georgia",13,047,2019,13047
47096,1192,10560,"Chattahoochee County, Georgia",13,053,2019,13053
36807,608,24812,"Chattooga County, Georgia",13,055,2019,13055
82339,1149,150705,"Columbia County, Georgia",13,073,2019,13073
41481,677,26682,"Decatur County, Georgia",13,087,2019,13087
48336,762,97369,"Floyd County, Georgia",13,115,2019,13115
107218,1380,228383,"Forsyth County, Georgia",13,117,2019,13117
50563,772,44626,"Habersham County, Georgia",13,137,2019,13137
43204,720,25773,"Hart County, Georgia",13,147,2019,13147
42441,802,115364,"Lowndes County, Georgia",13,185,2019,13185
49504,813,14174,"McIntosh County, Georgia",13,191,2019,13191
37121,714,21106,"Meriwether County, Georgia",13,199,2019,13199
54754,704,27171,"Monroe County, Georgia",13,207,2019,13207
51606,788,21691,"Putnam County, Georgia",13,237,2019,13237
36681,736,30064,"Sumter County, Georgia",13,261,2019,13261
37446,547,1611,"Taliaferro County, Georgia",13,265,2019,13265
37203,631,5297,"Warren County, Georgia",13,301,2019,13301
44768,524,6429,"Wayne County, Iowa",19,185,2019,19185
61183,793,172446,"Scott County, Iowa",19,163,2019,19163
54754,819,5938,"Sherman County, Kansas",20,181,2019,20181
60124,638,7810,"Thomas County, Kansas",20,193,2019,20193
55658,659,5566,"Morris County, Kansas",20,127,2019,20127
49415,550,5053,"Rooks County, Kansas",20,163,2019,20163
53348,589,2026,"Clark County, Kansas",20,025,2019,20025
49865,681,5594,"Harper County, Kansas",20,077,2019,20077
46338,674,33251,"Lyon County, Kansas",20,111,2019,20111
49917,602,6629,"Pawnee County, Kansas",20,145,2019,20145
54821,443,1740,"Comanche County, Kansas",20,033,2019,20033
48317,693,2644,"Gove County, Kansas",20,063,2019,20063
57982,733,34503,"Harvey County, Kansas",20,079,2019,20079
52599,645,3907,"Kearny County, Kansas",20,093,2019,20093
59089,746,28567,"McPherson County, Kansas",20,113,2019,20113
31893,495,11709,"Desha County, Arkansas",05,041,2019,05041
35405,545,12231,"Fulton County, Arkansas",05,049,2019,05049
36059,601,13311,"Howard County, Arkansas",05,061,2019,05061
44777,771,98555,"Garland County, Arkansas",05,051,2019,05051
39962,632,42126,"Mississippi County, Arkansas",05,093,2019,05093
43462,681,63761,"Pope County, Arkansas",05,115,2019,05115
42660,619,8189,"Prairie County, Arkansas",05,117,2019,05117
44663,674,39449,"Union County, Arkansas",05,139,2019,05139
32845,504,6533,"Woodruff County, Arkansas",05,147,2019,05147
44483,704,25100,"Cleburne County, Arkansas",05,023,2019,05023
46684,630,8128,"Cleveland County, Arkansas",05,025,2019,05025
34109,588,17027,"Jackson County, Arkansas",05,067,2019,05067
42860,694,21842,"Hempstead County, Arkansas",05,057,2019,05057
34671,527,17139,"Sharp County, Arkansas",05,135,2019,05135
38188,604,12475,"Stone County, Arkansas",05,137,2019,05137
50451,794,232289,"Washington County, Arkansas",05,143,2019,05143
42260,703,41427,"Baxter County, Arkansas",05,005,2019,05005
44744,533,20270,"Ashley County, Arkansas",05,003,2019,05003
47286,757,107345,"Craighead County, Arkansas",05,031,2019,05031
47056,698,44937,"Greene County, Arkansas",05,055,2019,05055
48667,631,10355,"Perry County, Arkansas",05,105,2019,05105
40921,603,23896,"Poinsett County, Arkansas",05,111,2019,05111
47704,581,17081,"Sevier County, Arkansas",05,133,2019,05133
46417,640,5192,"Calhoun County, Arkansas",05,013,2019,05013
41620,606,22386,"Clark County, Arkansas",05,019,2019,05019
39993,549,16549,"Lawrence County, Arkansas",05,075,2019,05075
38468,517,7050,"Monroe County, Arkansas",05,095,2019,05095
42802,647,20858,"Conway County, Arkansas",05,029,2019,05029
38082,547,7812,"Newton County, Arkansas",05,101,2019,05101
46696,648,17914,"Arkansas County, Arkansas",05,001,2019,05001
59094,796,72528,"Lonoke County, Arkansas",05,085,2019,05085
46110,610,27965,"Carroll County, Arkansas",05,015,2019,05015
35348,633,25900,"St. Francis County, Arkansas",05,123,2019,05123
51749,861,392967,"Pulaski County, Arkansas",05,119,2019,05119
53672,1021,271382,"Merced County, California",06,047,2019,06047
48820,929,17420,"Mariposa County, California",06,043,2019,06043
45507,717,8907,"Modoc County, California",06,049,2019,06049
99716,1819,1142251,"Contra Costa County, California",06,013,2019,06013
57316,919,17977,"Inyo County, California",06,027,2019,06027
60704,1155,543194,"Stanislaus County, California",06,099,2019,06099
74624,1643,444829,"Santa Barbara County, California",06,083,2019,06083
44514,872,63912,"Tehama County, California",06,103,2019,06103
62260,1206,14310,"Mono County, California",06,051,2019,06051
86958,1535,60376,"San Benito County, California",06,069,2019,06069
72624,1242,37063,"Bryan County, Georgia",13,029,2019,13029
43471,850,24090,"Butts County, Georgia",13,035,2019,13035
56951,945,53231,"Camden County, Georgia",13,039,2019,13039
46283,709,12325,"Crawford County, Georgia",13,079,2019,13079
30640,709,10312,"Early County, Georgia",13,099,2019,13099
40859,623,43021,"Coffee County, Georgia",13,069,2019,13069
75913,1096,143260,"Coweta County, Georgia",13,077,2019,13077
52625,765,30414,"Gilmer County, Georgia",13,123,2019,13123
61599,1000,91442,"Walton County, Georgia",13,297,2019,13297
37838,762,9844,"Wilkes County, Georgia",13,317,2019,13317
39302,620,20829,"Dodge County, Georgia",13,091,2019,13091
45865,731,57202,"Gordon County, Georgia",13,129,2019,13129
82740,1241,247515,"Cherokee County, Georgia",13,057,2019,13057
90145,1326,112303,"Fayette County, Georgia",13,113,2019,13113
69280,881,29502,"Lee County, Georgia",13,177,2019,13177
67631,856,31387,"Pickens County, Georgia",13,227,2019,13227
52129,727,17349,"Greene County, Georgia",13,133,2019,13133
41854,737,17177,"Cook County, Georgia",13,075,2019,13075
66281,918,24536,"Dawson County, Georgia",13,085,2019,13085
69673,1205,1036200,"Fulton County, Georgia",13,121,2019,13121
62409,1180,199459,"Hawaii County, Hawaii",15,001,2019,15001
85857,1745,984821,"Honolulu County, Hawaii",15,003,2019,15003
83554,1375,71769,"Kauai County, Hawaii",15,007,2019,15007
69375,1063,66,"Kalawao County, Hawaii",15,005,2019,15005
52935,647,23690,"Cassia County, Idaho",16,031,2019,16031
50053,639,5350,"Lincoln County, Idaho",16,063,2019,16063
64475,773,10709,"Valley County, Idaho",16,085,2019,16085
57215,680,13464,"Franklin County, Idaho",16,041,2019,16041
58107,727,40217,"Nez Perce County, Idaho",16,069,2019,16069
57242,993,157322,"Kootenai County, Idaho",16,055,2019,16055
53370,701,20705,"Minidoka County, Idaho",16,067,2019,16067
52919,800,84869,"Twin Falls County, Idaho",16,083,2019,16083
56694,933,22373,"Blaine County, Idaho",16,013,2019,16013
59646,754,7378,"Boise County, Idaho",16,015,2019,16015
42132,656,2581,"Butte County, Idaho",16,023,2019,16023
47204,704,15148,"Gooding County, Idaho",16,047,2019,16047
66293,995,456849,"Ada County, Idaho",16,001,2019,16001
54167,589,6000,"Bear Lake County, Idaho",16,007,2019,16007
55472,662,45839,"Bingham County, Idaho",16,011,2019,16011
39688,853,1048,"Camas County, Idaho",16,025,2019,16025
43915,719,8673,"Clearwater County, Idaho",16,035,2019,16035
63048,796,28534,"Jefferson County, Idaho",16,051,2019,16051
52426,989,373340,"Lane County, Oregon",41,039,2019,41039
57962,903,6523,"Surry County, Virginia",51,181,2019,51181
80026,1151,14423,"Clarke County, Virginia",51,043,2019,51043
43207,695,30728,"Mecklenburg County, Virginia",51,117,2019,51117
62711,890,75079,"Augusta County, Virginia",51,015,2019,51015
93994,1208,22865,"Goochland County, Virginia",51,075,2019,51075
57895,687,13170,"Madison County, Virginia",51,113,2019,51113
68948,956,93823,"Roanoke County, Virginia",51,161,2019,51161
44434,668,16520,"Brunswick County, Virginia",51,025,2019,51025
47227,733,11885,"Northampton County, Virginia",51,131,2019,51131
54600,800,22570,"Rockbridge County, Virginia",51,163,2019,51163
29000,618,3970,"Norton city, Virginia",51,720,2019,51720
54550,1038,17428,"Colonial Heights city, Virginia",51,570,2019,51570
48531,589,6388,"Bland County, Virginia",51,021,2019,51021
71110,908,33343,"Botetourt County, Virginia",51,023,2019,51023
37500,687,16912,"Bristol city, Virginia",51,520,2019,51520
57463,1193,14927,"Williamsburg city, Virginia",51,830,2019,51830
44835,565,29801,"Carroll County, Virginia",51,035,2019,51035
67151,1252,1524553,"Sacramento County, California",06,067,2019,06067
83377,1260,188563,"El Dorado County, California",06,017,2019,06017
71015,1495,433410,"Monterey County, California",06,053,2019,06053
112449,1895,874961,"San Francisco County, California",06,075,2019,06075
78980,1658,3316073,"San Diego County, California",06,073,2019,06073
49687,942,461898,"Tulare County, California",06,107,2019,06107
48041,981,135940,"Humboldt County, California",06,023,2019,06023
63750,538,1039,"Alpine County, California",06,003,2019,06003
57585,1014,155433,"Madera County, California",06,039,2019,06039
82234,1717,273962,"Santa Cruz County, California",06,087,2019,06087
40846,799,12700,"Trinity County, California",06,105,2019,06105
67005,1375,2411439,"Riverside County, California",06,065,2019,06065
63362,1283,2149031,"San Bernardino County, California",06,071,2019,06071
115246,2069,259943,"Marin County, California",06,041,2019,06041
89691,1542,385512,"Placer County, California",06,061,2019,06061
54667,1039,179212,"Shasta County, California",06,089,2019,06089
81472,1592,441829,"Solano County, California",06,095,2019,06095
59401,889,21454,"Colusa County, California",06,011,2019,06011
42151,733,28501,"Copiah County, Mississippi",28,029,2019,28029
44625,869,238797,"Hinds County, Mississippi",28,049,2019,28049
45754,696,28507,"Union County, Mississippi",28,145,2019,28145
39246,564,22018,"Tippah County, Mississippi",28,139,2019,28139
39840,773,75224,"Forrest County, Mississippi",28,035,2019,28035
50272,954,53590,"Lafayette County, Mississippi",28,071,2019,28071
50441,805,59150,"Lowndes County, Mississippi",28,087,2019,28087
27313,561,8875,"Wilkinson County, Mississippi",28,157,2019,28157
32116,605,11339,"Jefferson Davis County, Mississippi",28,065,2019,28065
34943,707,28332,"Scott County, Mississippi",28,123,2019,28123
33279,636,28565,"Yazoo County, Mississippi",28,163,2019,28163
29854,637,31848,"Bolivar County, Mississippi",28,011,2019,28011
31784,717,39532,"Pike County, Mississippi",28,113,2019,28113
45483,680,18276,"Stone County, Mississippi",28,131,2019,28131
31103,402,9943,"Kemper County, Mississippi",28,069,2019,28069
30838,642,26168,"Sunflower County, Mississippi",28,133,2019,28133
29936,600,31266,"Adams County, Mississippi",28,001,2019,28001
67038,1057,178975,"DeSoto County, Mississippi",28,033,2019,28033
74477,1078,564554,"Delaware County, Pennsylvania",42,045,2019,42045
49089,607,74361,"Somerset County, Pennsylvania",42,111,2019,42111
43636,607,12179,"Madison County, Missouri",29,123,2019,29123
43276,650,20595,"Vernon County, Missouri",29,217,2019,29217
44232,657,22359,"Nodaway County, Missouri",29,147,2019,29147
46738,514,7483,"Chariton County, Missouri",29,041,2019,29041
34316,566,13195,"Wayne County, Missouri",29,223,2019,29223
44139,687,38633,"Scott County, Missouri",29,201,2019,29201
44125,557,11797,"Barton County, Missouri",29,011,2019,29011
39365,612,14043,"Cedar County, Missouri",29,039,2019,29039
54885,611,14711,"Gasconade County, Missouri",29,073,2019,29073
42746,549,15199,"Macon County, Missouri",29,121,2019,29121
33601,541,10647,"Oregon County, Missouri",29,149,2019,29149
60129,729,17848,"Ste. Genevieve County, Missouri",29,186,2019,29186
37425,560,13306,"Douglas County, Missouri",29,067,2019,29067
45795,639,21735,"Henry County, Missouri",29,083,2019,29083
44742,681,38204,"Lawrence County, Missouri",29,109,2019,29109
53492,993,52425,"Pulaski County, Missouri",29,169,2019,29169
35067,591,25604,"Texas County, Missouri",29,215,2019,29215
56938,708,44889,"Callaway County, Missouri",29,027,2019,29027
52735,664,17660,"Cooper County, Missouri",29,053,2019,29053
47790,612,6616,"Gentry County, Missouri",29,075,2019,29075
48495,716,54071,"Washington County, Virginia",51,191,2019,51191
51792,790,23788,"Page County, Virginia",51,139,2019,51139
100939,1747,157613,"Alexandria city, Virginia",51,510,2019,51510
56287,1118,135041,"Hampton city, Virginia",51,650,2019,51650
120071,1970,233464,"Arlington County, Virginia",51,013,2019,51013
31956,617,21788,"Buchanan County, Virginia",51,027,2019,51027
111108,1546,146773,"Stafford County, Virginia",51,179,2019,51179
47250,1025,226622,"Richmond city, Virginia",51,760,2019,51760
51954,885,10998,"Essex County, Virginia",51,057,2019,51057
42099,656,41603,"Tazewell County, Virginia",51,185,2019,51185
88046,1732,16986,"Manassas Park city, Virginia",51,685,2019,51685
49487,807,11377,"Sussex County, Virginia",51,183,2019,51183
81493,1528,41174,"Manassas city, Virginia",51,683,2019,51683
57165,913,25317,"Salem city, Virginia",51,775,2019,51775
40573,620,12040,"Charlotte County, Virginia",51,037,2019,51037
50300,854,11525,"Greensville County, Virginia",51,081,2019,51081
72003,1218,279711,"Thurston County, Washington",53,067,2019,53067
53423,763,3992,"Columbia County, Washington",53,013,2019,53013
17379,349,18514,"Guayanilla Municipio, Puerto Rico",72,059,2019,72059
17319,467,22560,"Sabana Grande Municipio, Puerto Rico",72,121,2019,72121
19030,424,15943,"Hormigueros Municipio, Puerto Rico",72,067,2019,72067
15399,396,28676,"Utuado Municipio, Puerto Rico",72,141,2019,72141
20442,547,11697,"Florida Municipio, Puerto Rico",72,054,2019,72054
15037,422,36161,"Moca Municipio, Puerto Rico",72,099,2019,72099
18189,430,28109,"Salinas Municipio, Puerto Rico",72,123,2019,72123
35357,613,13574,"Mississippi County, Missouri",29,133,2019,29133
31947,660,9207,"Ozark County, Missouri",29,153,2019,29153
44158,647,12225,"Bollinger County, Missouri",29,017,2019,29017
67204,1026,183437,"Sumner County, Tennessee",47,165,2019,47165
56321,787,10231,"Trousdale County, Tennessee",47,169,2019,47169
32167,479,7654,"Clay County, Tennessee",47,027,2019,47027
61456,709,14641,"Moultrie County, Illinois",17,139,2019,17139
47492,568,15672,"Pike County, Illinois",17,149,2019,17149
38056,313,4203,"Pope County, Illinois",17,151,2019,17151
55179,861,262338,"St. Clair County, Illinois",17,163,2019,17163
52953,653,21737,"Shelby County, Illinois",17,173,2019,17173
52797,882,209922,"Champaign County, Illinois",17,019,2019,17019
63009,617,4830,"Calhoun County, Illinois",17,013,2019,17013
52092,676,13270,"Ford County, Illinois",17,053,2019,17053
79394,1148,531376,"Kane County, Illinois",17,089,2019,17089
96563,1414,126054,"Kendall County, Illinois",17,093,2019,17093
61655,615,6628,"Brown County, Illinois",17,009,2019,17009
47519,646,37743,"Marion County, Illinois",17,121,2019,17121
48417,664,13621,"Mason County, Illinois",17,125,2019,17125
52700,686,27812,"Iroquois County, Illinois",17,075,2019,17075
48500,604,13287,"Clay County, Illinois",17,025,2019,17025
44076,439,5064,"Gallatin County, Illinois",17,059,2019,17059
85747,872,34168,"Monroe County, Illinois",17,133,2019,17133
50625,612,16968,"Union County, Illinois",17,181,2019,17181
54489,799,284819,"Winnebago County, Illinois",17,201,2019,17201
34640,519,5510,"Pulaski County, Illinois",17,153,2019,17153
52357,672,6953,"Schuyler County, Illinois",17,169,2019,17169
53647,611,17407,"Edgar County, Illinois",17,045,2019,17045
69272,854,53537,"Boone County, Illinois",17,007,2019,17007
57436,680,33122,"Bureau County, Illinois",17,011,2019,17011
46202,697,51353,"Coles County, Illinois",17,029,2019,17029
49779,638,18972,"Crawford County, Illinois",17,033,2019,17033
63638,693,5721,"Putnam County, Illinois",17,155,2019,17155
55587,629,15932,"De Witt County, Illinois",17,039,2019,17039
58194,694,34389,"Lee County, Illinois",17,103,2019,17103
55159,701,45463,"Macoupin County, Illinois",17,117,2019,17117
48894,566,15766,"Richland County, Illinois",17,159,2019,17159
61763,716,14058,"Washington County, Illinois",17,189,2019,17189
82215,1359,589481,"Washington County, Oregon",41,067,2019,41067
54886,927,39102,"Clatsop County, Oregon",41,007,2019,41007
41165,600,4611,"Cameron County, Pennsylvania",42,023,2019,42023
89139,1228,626806,"Bucks County, Pennsylvania",42,017,2019,42017
63897,1072,365052,"Lehigh County, Pennsylvania",42,077,2019,42077
46680,649,38715,"Clarion County, Pennsylvania",42,031,2019,42031
54776,672,36870,"Greene County, Pennsylvania",42,059,2019,42059
53473,785,317663,"Luzerne County, Pennsylvania",42,079,2019,42079
50550,758,65715,"Columbia County, Pennsylvania",42,037,2019,42037
47603,669,43846,"Jefferson County, Pennsylvania",42,065,2019,42065
63718,792,46053,"Perry County, Pennsylvania",42,099,2019,42099
47407,643,6135,"Sullivan County, Pennsylvania",42,113,2019,42113
73521,1079,163869,"Kent County, Rhode Island",44,003,2019,44003
85531,1133,126060,"Washington County, Rhode Island",44,009,2019,44009
44226,765,38194,"Newberry County, South Carolina",45,071,2019,45071
40900,606,33957,"Clarendon County, South Carolina",45,027,2019,45027
45661,800,106757,"Sumter County, South Carolina",45,085,2019,45085
35803,621,21346,"Barnwell County, South Carolina",45,011,2019,45011
38448,675,67027,"Darlington County, South Carolina",45,031,2019,45031
65361,980,265872,"York County, South Carolina",45,091,2019,45091
36883,712,56895,"Cherokee County, South Carolina",45,021,2019,45021
45601,929,28657,"Jasper County, South Carolina",45,053,2019,45053
32371,656,17365,"Lee County, South Carolina",45,061,2019,45061
38741,681,24627,"Abbeville County, South Carolina",45,001,2019,45001
53862,568,3848,"Lyman County, South Dakota",46,085,2019,46085
65437,629,4318,"Deuel County, South Dakota",46,039,2019,46039
49633,835,27976,"Glenn County, California",06,021,2019,06021
52537,1060,225817,"Butte County, California",06,007,2019,06007
57848,990,150691,"Kings County, California",06,031,2019,06031
55359,916,18660,"Plumas County, California",06,063,2019,06063
73518,1476,282165,"San Luis Obispo County, California",06,079,2019,06079
53969,998,984521,"Fresno County, California",06,019,2019,06019
53350,978,887641,"Kern County, California",06,029,2019,06029
90234,1854,3168044,"Orange County, California",06,059,2019,06059
88131,1776,847263,"Ventura County, California",06,111,2019,06111
63158,1339,45514,"Calaveras County, California",06,009,2019,06009
59050,1033,96109,"Sutter County, California",06,101,2019,06101
122641,2316,767423,"San Mateo County, California",06,081,2019,06081
60108,1009,54045,"Tuolumne County, California",06,109,2019,06109
64432,1208,742603,"San Joaquin County, California",06,077,2019,06077
62772,1103,38429,"Amador County, California",06,005,2019,06005
51155,751,4290,"Phillips County, Colorado",08,095,2019,08095
52221,961,13253,"Archuleta County, Colorado",08,007,2019,08007
68592,1311,705576,"Denver County, Colorado",08,031,2019,08031
41731,750,1489,"Kiowa County, Colorado",08,061,2019,08061
38137,626,6679,"Huerfano County, Colorado",08,055,2019,08055
35878,443,3561,"Baca County, Colorado",08,009,2019,08009
76429,1159,6018,"Gilpin County, Colorado",08,047,2019,08047
49349,736,7447,"Kit Carson County, Colorado",08,063,2019,08063
56577,992,16802,"Gunnison County, Colorado",08,051,2019,08051
62188,720,824,"Mineral County, Colorado",08,079,2019,08079
66417,1223,4796,"Ouray County, Colorado",08,091,2019,08091
43150,556,2322,"Sedgwick County, Colorado",08,115,2019,08115
74150,1085,305345,"Weld County, Colorado",08,123,2019,08123
53119,620,4776,"Custer County, Colorado",08,027,2019,08027
30965,532,3745,"Costilla County, Colorado",08,023,2019,08023
119730,1725,336041,"Douglas County, Colorado",08,035,2019,08035
50565,982,7751,"Lake County, Colorado",08,065,2019,08065
